ID_Ordine,Codice_Articolo,Lotto,Quantita_Da_Produrre,Materiale_Richiesto,Descrizione_Materiale,Macchina_Assegnata_Default,Data_Scadenza_Cliente,Priorita_Commerciale
ODP-048,ART-002,L-2026-7023,17,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-08-01,BASSA
ODP-049,ART-005,L-2026-6014,75,MAT-Alluminio-30,TONDO Alluminio Ø30,TORNO-01,2026-08-02,ALTA
ODP-050,ART-006,L-2026-3081,37,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-08-03,BASSA
ODP-051,ART-020,L-2026-3486,131,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-08-04,ALTA
ODP-052,ART-001,L-2026-6213,85,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-08-05,BASSA
ODP-053,ART-021,L-2026-5224,196,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-08-06,MEDIA
ODP-054,ART-014,L-2026-8167,49,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-08-07,ALTA
ODP-055,ART-006,L-2026-8321,79,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-08-08,ALTA
ODP-056,ART-011,L-2026-1185,15,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-08-09,ALTA
ODP-057,ART-021,L-2026-6368,103,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-08-10,BASSA
ODP-058,ART-015,L-2026-2244,147,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-08-11,BASSA
ODP-059,ART-013,L-2026-5384,183,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-08-12,BASSA
ODP-060,ART-011,L-2026-7871,59,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-08-13,BASSA
ODP-061,ART-018,L-2026-3029,195,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-08-14,MEDIA
ODP-062,ART-001,L-2026-5290,140,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-08-15,BASSA
ODP-063,ART-017,L-2026-2139,183,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-08-16,ALTA
ODP-064,ART-014,L-2026-5914,142,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-08-17,ALTA
ODP-065,ART-017,L-2026-8012,23,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-08-18,BASSA
ODP-066,ART-020,L-2026-6323,171,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-08-19,ALTA
ODP-067,ART-011,L-2026-1748,34,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-08-20,BASSA
ODP-068,ART-005,L-2026-7106,77,MAT-Alluminio-30,TONDO Alluminio Ø30,TORNO-01,2026-08-21,BASSA
ODP-069,ART-002,L-2026-9533,54,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-08-22,ALTA
ODP-070,ART-011,L-2026-5633,121,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-08-23,ALTA
ODP-071,ART-018,L-2026-3023,195,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-08-24,MEDIA
ODP-072,ART-001,L-2026-9467,23,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-08-25,MEDIA
ODP-073,ART-015,L-2026-3475,2,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-08-26,MEDIA
ODP-074,ART-021,L-2026-1875,103,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-08-27,BASSA
ODP-075,ART-011,L-2026-2580,23,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-08-28,BASSA
ODP-076,ART-014,L-2026-6134,166,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-08-29,BASSA
ODP-077,ART-011,L-2026-9168,11,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-08-30,MEDIA
ODP-078,ART-014,L-2026-7878,197,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-08-31,MEDIA
ODP-079,ART-011,L-2026-1638,154,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-09-01,BASSA
ODP-080,ART-014,L-2026-9934,171,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-09-02,BASSA
ODP-081,ART-013,L-2026-4447,15,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-09-03,ALTA
ODP-082,ART-017,L-2026-2315,11,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-09-04,MEDIA
ODP-083,ART-002,L-2026-4029,66,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-09-05,BASSA
ODP-084,ART-018,L-2026-4021,29,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-09-06,MEDIA
ODP-085,ART-015,L-2026-5912,183,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-09-07,ALTA
ODP-086,ART-007,L-2026-4441,123,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-02,2026-09-08,BASSA
ODP-087,ART-018,L-2026-1184,81,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-09-09,BASSA
ODP-088,ART-018,L-2026-4084,103,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-09-10,BASSA
ODP-089,ART-011,L-2026-2029,141,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-09-11,BASSA
ODP-090,ART-015,L-2026-8963,154,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-09-12,MEDIA
ODP-091,ART-003,L-2026-5594,22,MAT-Alluminio-50,TONDO Alluminio Ø50,TORNO-06,2026-09-13,BASSA
ODP-092,ART-002,L-2026-1774,153,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-09-14,MEDIA
ODP-093,ART-014,L-2026-5555,199,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-09-15,BASSA
ODP-094,ART-011,L-2026-1721,114,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-09-16,ALTA
ODP-095,ART-001,L-2026-3844,142,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-09-17,ALTA
ODP-096,ART-013,L-2026-8971,154,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-09-18,BASSA
ODP-097,ART-017,L-2026-4470,2,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-09-19,BASSA
ODP-098,ART-011,L-2026-3021,55,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-09-20,BASSA
ODP-099,ART-007,L-2026-6412,175,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-02,2026-09-21,MEDIA
ODP-100,ART-002,L-2026-5291,123,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-09-22,ALTA
ODP-101,ART-013,L-2026-7848,51,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-09-23,MEDIA
ODP-102,ART-002,L-2026-8412,3,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-09-24,BASSA
ODP-103,ART-017,L-2026-5381,61,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-09-25,ALTA
ODP-104,ART-001,L-2026-6138,59,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-09-26,BASSA
ODP-105,ART-021,L-2026-5294,4,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-09-27,BASSA
ODP-106,ART-002,L-2026-8164,153,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-09-28,BASSA
ODP-107,ART-002,L-2026-1038,103,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-09-29,BASSA
ODP-108,ART-002,L-2026-6641,123,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-09-30,MEDIA
ODP-109,ART-006,L-2026-1464,136,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-10-01,ALTA
ODP-110,ART-021,L-2026-5591,15,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-10-02,MEDIA
ODP-111,ART-002,L-2026-4440,111,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-10-03,BASSA
ODP-112,ART-017,L-2026-1724,111,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-10-04,BASSA
ODP-113,ART-001,L-2026-3044,2,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-10-05,BASSA
ODP-114,ART-021,L-2026-5914,142,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-10-06,ALTA
ODP-115,ART-018,L-2026-8968,20,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-10-07,ALTA
ODP-116,ART-011,L-2026-4078,141,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-10-08,ALTA
ODP-117,ART-001,L-2026-1185,15,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-10-09,ALTA
ODP-118,ART-011,L-2026-5384,183,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-10-10,BASSA
ODP-119,ART-011,L-2026-8321,79,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-10-11,ALTA
ODP-120,ART-001,L-2026-4394,47,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-10-12,ALTA
ODP-121,ART-002,L-2026-6464,42,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-10-13,BASSA
ODP-122,ART-017,L-2026-1748,34,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-10-14,BASSA
ODP-123,ART-011,L-2026-4021,29,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-10-15,MEDIA
ODP-124,ART-002,L-2026-6085,16,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-10-16,ALTA
ODP-125,ART-002,L-2026-6368,103,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-10-17,BASSA
ODP-126,ART-015,L-2026-7871,59,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-10-18,BASSA
ODP-127,ART-002,L-2026-9464,136,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-10-19,BASSA
ODP-128,ART-011,L-2026-1046,67,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-10-20,ALTA
ODP-129,ART-021,L-2026-5351,91,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-10-21,BASSA
ODP-130,ART-017,L-2026-2139,183,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-10-22,ALTA
ODP-131,ART-015,L-2026-3029,195,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-10-23,MEDIA
ODP-132,ART-013,L-2026-4447,15,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-10-24,ALTA
ODP-133,ART-002,L-2026-9533,54,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-10-25,ALTA
ODP-134,ART-001,L-2026-6213,85,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-10-26,BASSA
ODP-135,ART-018,L-2026-3858,5,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-10-27,MEDIA
ODP-136,ART-002,L-2026-5520,131,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-10-28,MEDIA
ODP-137,ART-003,L-2026-4475,199,MAT-Alluminio-50,TONDO Alluminio Ø50,TORNO-06,2026-10-29,BASSA
ODP-138,ART-007,L-2026-6644,142,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-02,2026-10-30,ALTA
ODP-139,ART-018,L-2026-4029,66,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-10-31,BASSA
ODP-140,ART-001,L-2026-5290,140,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-11-01,BASSA
ODP-141,ART-002,L-2026-7853,27,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-11-02,BASSA
ODP-142,ART-011,L-2026-1638,154,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-11-03,BASSA
ODP-143,ART-015,L-2026-3475,2,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-11-04,MEDIA
ODP-144,ART-002,L-2026-4029,66,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-11-05,BASSA
ODP-145,ART-002,L-2026-8777,63,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-11-06,BASSA
ODP-146,ART-011,L-2026-5633,121,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-11-07,ALTA
ODP-147,ART-011,L-2026-9168,11,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-11-08,MEDIA
ODP-148,ART-001,L-2026-8968,20,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-11-09,ALTA
ODP-149,ART-017,L-2026-4074,48,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-11-10,BASSA
ODP-150,ART-001,L-2026-7241,155,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-11-11,BASSA
ODP-151,ART-021,L-2026-1875,103,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-11-12,BASSA
ODP-152,ART-017,L-2026-7288,58,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-11-13,BASSA
ODP-153,ART-014,L-2026-7878,197,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-11-14,MEDIA
ODP-154,ART-020,L-2026-3486,131,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-11-15,ALTA
ODP-155,ART-017,L-2026-3849,150,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-11-16,ALTA
ODP-156,ART-011,L-2026-3021,55,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-11-17,BASSA
ODP-157,ART-007,L-2026-7640,111,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-02,2026-11-18,ALTA
ODP-158,ART-017,L-2026-8012,23,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-11-19,BASSA
ODP-159,ART-021,L-2026-5470,22,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-11-20,BASSA
ODP-160,ART-014,L-2026-4740,70,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-11-21,MEDIA
ODP-161,ART-015,L-2026-5912,183,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-11-22,ALTA
ODP-162,ART-014,L-2026-9934,171,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-11-23,BASSA
ODP-163,ART-020,L-2026-5120,41,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-11-24,ALTA
ODP-164,ART-013,L-2026-3837,130,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-11-25,BASSA
ODP-165,ART-002,L-2026-2917,61,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-11-26,MEDIA
ODP-166,ART-020,L-2026-6284,54,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-11-27,MEDIA
ODP-167,ART-017,L-2026-4766,134,MAT-Bronzo-60,TONDO Bronzo Ø60,TORNO-06,2026-11-28,BASSA
ODP-168,ART-018,L-2026-4444,198,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-11-29,ALTA
ODP-169,ART-006,L-2026-2575,178,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-11-30,BASSA
ODP-170,ART-015,L-2026-6813,10,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-12-01,BASSA
ODP-171,ART-001,L-2026-6415,22,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-12-02,ALTA
ODP-172,ART-013,L-2026-4767,11,MAT-AISI316-40,TONDO AISI316 Ø40,TORNO-05,2026-12-03,BASSA
ODP-173,ART-018,L-2026-9653,49,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-12-04,BASSA
ODP-174,ART-006,L-2026-8964,25,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-12-05,BASSA
ODP-175,ART-015,L-2026-6113,38,MAT-C45-60,TONDO C45 Ø60,TORNO-05,2026-12-06,ALTA
ODP-176,ART-020,L-2026-6547,15,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-12-07,ALTA
ODP-177,ART-021,L-2026-9937,21,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-01,2026-12-08,ALTA
ODP-178,ART-014,L-2026-8167,49,MAT-C45-50,TONDO C45 Ø50,TORNO-03,2026-12-09,ALTA
ODP-179,ART-011,L-2026-9464,136,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-12-10,BASSA
ODP-180,ART-020,L-2026-2358,6,MAT-Alluminio-80,TONDO Alluminio Ø80,TORNO-05,2026-12-11,ALTA
ODP-181,ART-011,L-2026-1033,48,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-12-12,MEDIA
ODP-182,ART-006,L-2026-5591,150,MAT-Alluminio-40,TONDO Alluminio Ø40,TORNO-05,2026-12-13,BASSA
ODP-183,ART-012,L-2026-5915,27,MAT-AISI316-30,TONDO AISI316 Ø30,TORNO-05,2026-12-14,ALTA
ODP-184,ART-002,L-2026-5520,131,MAT-C45-30,TONDO C45 Ø30,TORNO-01,2026-12-15,MEDIA
ODP-185,ART-003,L-2026-4475,199,MAT-Alluminio-50,TONDO Alluminio Ø50,TORNO-06,2026-12-16,BASSA
ODP-186,ART-001,L-2026-6464,42,MAT-Bronzo-20,TONDO Bronzo Ø20,TORNO-02,2026-12-17,BASSA
ODP-187,ART-007,L-2026-4394,47,MAT-Bronzo-50,TONDO Bronzo Ø50,TORNO-02,2026-12-18,ALTA
ODP-188,ART-011,L-2026-1046,67,MAT-AISI304-100,TONDO AISI304 Ø100,TORNO-02,2026-12-19,ALTA
ODP-189,ART-018,L-2026-3858,5,MAT-C45-100,TONDO C45 Ø100,TORNO-02,2026-12-20,ALTA
