codice_articolo,numero_commessa,data_consegna,fase_numero,centro_lavoro,tipologia_lavorazione,tempo_attrezzatura_min,tempo_esecuzione_min
ART-1032,CMD-1026,2026-06-29,1,Tornio_03,Tornitura,20,30
ART-1038,CMD-1027,2026-06-24,1,Taglio_02,Taglio,60,90
ART-1038,CMD-1027,2026-06-24,2,Tornio_01,Tornitura,60,240
ART-1038,CMD-1027,2026-06-24,3,Fresa_01,Fresatura,60,45
ART-1004,CMD-1028,2026-06-25,1,Taglio_01,Taglio,20,90
ART-1004,CMD-1028,2026-06-25,2,Tornio_01,Tornitura,15,120
ART-1004,CMD-1028,2026-06-25,3,Fresa_01,Fresatura,20,120
ART-1039,CMD-1029,2026-06-25,1,Tornio_04,Tornitura,60,120
ART-1034,CMD-1030,2026-07-01,1,Tornio_03,Tornitura,30,90
ART-1034,CMD-1030,2026-07-01,2,Fresa_01,Fresatura,20,180
ART-1020,CMD-1031,2026-07-03,1,Taglio_01,Taglio,45,120
ART-1020,CMD-1031,2026-07-03,2,Tornio_01,Tornitura,60,30
ART-1005,CMD-1032,2026-06-29,1,Taglio_02,Taglio,15,45
ART-1005,CMD-1032,2026-06-29,2,Tornio_02,Tornitura,30,60
ART-1005,CMD-1032,2026-06-29,3,Fresa_02,Fresatura,20,90
ART-1035,CMD-1033,2026-07-02,1,Taglio_01,Taglio,15,45
ART-1035,CMD-1033,2026-07-02,2,Tornio_05,Tornitura,30,30
ART-1035,CMD-1033,2026-07-02,3,Fresa_02,Fresatura,15,180
ART-1036,CMD-1034,2026-07-01,1,Tornio_03,Tornitura,60,45
ART-1022,CMD-1035,2026-07-01,1,Tornio_05,Tornitura,45,60
ART-1004,CMD-1036,2026-07-06,1,Tornio_03,Tornitura,15,30
ART-1022,CMD-1037,2026-07-01,1,Tornio_02,Tornitura,45,120
ART-1028,CMD-1038,2026-06-23,1,Taglio_01,Taglio,60,30
ART-1028,CMD-1038,2026-06-23,2,Tornio_01,Tornitura,30,120
ART-1028,CMD-1038,2026-06-23,3,Fresa_01,Fresatura,60,45
ART-1028,CMD-1039,2026-06-24,1,Tornio_03,Tornitura,30,240
ART-1003,CMD-1040,2026-06-29,1,Taglio_01,Taglio,60,240
ART-1003,CMD-1040,2026-06-29,2,Tornio_03,Tornitura,45,120
ART-1010,CMD-1041,2026-06-28,1,Tornio_02,Tornitura,45,30
ART-1012,CMD-1042,2026-07-03,1,Taglio_02,Taglio,20,240
ART-1012,CMD-1042,2026-07-03,2,Tornio_02,Tornitura,15,90
ART-1012,CMD-1042,2026-07-03,3,Fresa_02,Fresatura,15,240
ART-1031,CMD-1043,2026-06-29,1,Tornio_04,Tornitura,30,60
ART-1015,CMD-1044,2026-06-23,1,Tornio_02,Tornitura,45,60
ART-1018,CMD-1045,2026-07-01,1,Tornio_03,Tornitura,60,90
ART-1035,CMD-1046,2026-06-23,1,Tornio_03,Tornitura,60,60
ART-1035,CMD-1046,2026-06-23,2,Fresa_01,Fresatura,15,30
ART-1039,CMD-1047,2026-07-04,1,Taglio_02,Taglio,60,120
ART-1039,CMD-1047,2026-07-04,2,Tornio_04,Tornitura,15,90
ART-1037,CMD-1048,2026-07-01,1,Tornio_01,Tornitura,45,30
ART-1034,CMD-1049,2026-06-29,1,Taglio_02,Taglio,30,120
ART-1034,CMD-1049,2026-06-29,2,Tornio_04,Tornitura,30,180
ART-1034,CMD-1049,2026-06-29,3,Fresa_01,Fresatura,15,180
ART-1020,CMD-1050,2026-07-02,1,Taglio_02,Taglio,30,120
ART-1020,CMD-1050,2026-07-02,2,Tornio_03,Tornitura,20,45
ART-1020,CMD-1050,2026-07-02,3,Fresa_02,Fresatura,45,180
ART-1025,CMD-1051,2026-06-28,1,Taglio_02,Taglio,30,60
ART-1025,CMD-1051,2026-06-28,2,Tornio_04,Tornitura,20,90
ART-1025,CMD-1051,2026-06-28,3,Fresa_01,Fresatura,60,120
